frame,timestamp,fish_y,sweet_y,distance,velocity,action,is_holding
950,1765649187.7060678,110,74,36,-0.03,RELEASE,False
955,1765649187.8073568,110,74,36,-0.00,RELEASE,False
960,1765649187.9221609,110,76,34,1.75,RELEASE,False
965,1765649188.0190551,110,91,19,3.68,RELEASE,False
970,1765649188.1124897,111,114,-3,4.74,HOLD,True
975,1765649188.221955,110,134,-24,4.62,HOLD,True
980,1765649188.3309982,111,145,-34,2.02,HOLD,True
985,1765649188.4113595,110,161,-51,2.22,HOLD,True
990,1765649188.5119934,110,167,-57,1.04,HOLD,True
995,1765649188.6125367,110,171,-61,0.41,HOLD,True
1000,1765649188.7265108,110,169,-59,-0.30,HOLD,True
1005,1765649188.8344135,110,159,-49,-1.82,HOLD,True
1010,1765649188.9382982,120,146,-26,-1.81,HOLD,True
1015,1765649189.033013,142,130,12,-3.37,RELEASE,False
1020,1765649189.132774,172,107,65,-4.11,RELEASE,False
1025,1765649189.232664,194,91,103,-3.35,RELEASE,False
1030,1765649189.3495564,217,79,138,-2.29,RELEASE,False
1035,1765649189.438826,231,74,157,-0.57,RELEASE,False
1040,1765649189.5461886,246,73,173,-0.08,RELEASE,False
1045,1765649189.6298764,258,78,180,0.97,RELEASE,False
1050,1765649189.732733,268,87,181,2.50,RELEASE,False
1055,1765649189.8388214,276,102,174,3.39,RELEASE,False
1060,1765649189.921064,281,121,160,3.76,RELEASE,False
1065,1765649190.0142448,283,142,141,6.37,RELEASE,False
1070,1765649190.1074412,284,169,115,5.01,RELEASE,False
1075,1765649190.1880667,284,187,97,2.94,RELEASE,False
1080,1765649190.294219,284,219,65,5.03,RELEASE,False
1085,1765649190.4002693,284,242,42,3.13,RELEASE,False
1090,1765649190.506079,284,242,42,0.10,RELEASE,False
1095,1765649190.6012464,283,242,41,0.00,RELEASE,False
1100,1765649190.714015,283,242,41,0.00,RELEASE,False
1105,1765649190.806032,283,242,41,0.00,RELEASE,False
1110,1765649190.8881922,284,242,42,0.00,RELEASE,False
1115,1765649191.003927,283,242,41,0.00,RELEASE,False
1120,1765649191.098058,284,242,42,0.00,RELEASE,False
1125,1765649191.2140212,283,242,41,0.00,RELEASE,False
1130,1765649191.3239567,283,242,41,0.00,RELEASE,False
1135,1765649191.4042244,282,242,40,0.00,RELEASE,False
1140,1765649191.4956539,280,242,38,0.00,RELEASE,False
1145,1765649191.6058412,280,242,38,0.00,RELEASE,False
1150,1765649191.731248,278,242,36,0.00,RELEASE,False
